activity_id,lead_id,rep_id,activity_type,activity_outcome,activity_date
94,7655,14,Call,Negative,2026-01-09
95,2561,14,Call,Negative,2025-08-24
96,6328,12,Meeting,Negative,2025-10-01
97,471,25,Call,Positive,2026-02-03
98,6401,37,Call,Neutral,2026-03-23
99,8597,5,Meeting,Negative,2026-01-21
100,6422,49,Email,Positive,2026-04-05
101,3502,29,Meeting,Neutral,2025-10-09
102,6374,16,Call,Negative,2025-07-20
103,3694,1,Email,Negative,2026-02-07
104,8685,26,Demo,Positive,2025-10-05
105,6560,1,Demo,Positive,2026-02-03
106,3536,14,Call,Positive,2025-12-17
107,8884,37,Demo,Neutral,2026-02-12
108,166,47,Meeting,Negative,2025-10-22
109,5984,24,Email,Positive,2025-11-17
110,3037,49,Meeting,Positive,2025-07-22
111,7541,44,Meeting,Negative,2025-11-01
112,2031,3,Email,Neutral,2026-06-07
113,7590,6,Email,Negative,2026-05-03
114,2002,17,Call,Neutral,2026-05-22
115,5335,22,Meeting,Positive,2026-02-03
116,8319,9,Meeting,Negative,2025-10-20
117,2857,47,Demo,Neutral,2025-09-19
118,4933,34,Meeting,Positive,2025-08-20
119,2063,20,Call,Neutral,2025-08-20
120,1856,19,Meeting,Neutral,2026-06-03
121,6056,22,Demo,Negative,2026-01-27
122,5658,17,Call,Neutral,2026-01-14
123,3004,39,Meeting,Neutral,2026-05-27
124,3428,6,Call,Positive,2025-06-19
125,4617,32,Call,Neutral,2026-04-05
126,4344,40,Demo,Positive,2026-02-21
127,2926,29,Demo,Neutral,2026-01-06
128,8909,32,Call,Neutral,2025-12-10
129,4772,11,Meeting,Positive,2026-03-13
130,5551,1,Demo,Neutral,2025-09-14
131,2522,3,Demo,Positive,2025-06-25
132,2311,26,Demo,Positive,2025-11-07
133,9015,40,Demo,Negative,2025-12-21
134,7648,9,Email,Neutral,2025-10-31
135,8898,12,Email,Negative,2026-01-05
136,2109,23,Call,Positive,2025-11-26
137,6264,33,Email,Positive,2025-09-05
138,9800,48,Call,Positive,2025-10-29
139,7660,44,Demo,Negative,2026-01-21
140,752,11,Email,Negative,2026-03-28
141,6159,50,Email,Neutral,2025-10-14
142,4389,44,Meeting,Negative,2025-12-26
143,688,40,Demo,Positive,2026-03-25
144,149,6,Email,Negative,2025-09-10
145,9074,36,Meeting,Positive,2025-08-25
146,7437,40,Meeting,Positive,2026-01-14
147,865,50,Meeting,Neutral,2025-09-28
148,5387,30,Demo,Neutral,2025-11-23
149,5918,50,Email,Negative,2026-05-10
150,1268,14,Meeting,Neutral,2025-09-28
151,5533,44,Email,Positive,2025-10-17
152,3998,15,Email,Neutral,2025-07-30
153,9496,5,Email,Negative,2026-01-24
154,2481,4,Demo,Positive,2026-02-05
155,2769,12,Meeting,Negative,2026-05-13
156,5328,27,Meeting,Neutral,2026-03-23
157,6137,46,Demo,Negative,2025-09-20
158,5350,20,Call,Positive,2025-09-13
159,8957,35,Email,Positive,2026-06-01
160,8792,19,Meeting,Positive,2026-03-05
161,8236,11,Email,Negative,2025-12-09
162,132,29,Meeting,Positive,2025-11-21
163,4923,50,Email,Neutral,2026-03-14
164,8512,48,Call,Positive,2025-11-26
165,9924,10,Meeting,Positive,2026-05-01
166,530,39,Email,Negative,2026-06-02
167,3819,32,Email,Neutral,2025-10-15
168,3872,35,Call,Positive,2025-08-15
169,3380,25,Email,Positive,2025-12-30
170,5940,18,Demo,Negative,2026-03-17
171,884,48,Call,Negative,2025-11-27
172,7177,18,Meeting,Neutral,2025-12-15
173,5607,5,Demo,Negative,2026-02-04
174,6469,21,Call,Negative,2026-01-01
175,3143,47,Demo,Neutral,2026-05-04
176,5137,28,Meeting,Positive,2025-06-29
177,7466,47,Call,Neutral,2025-10-05
178,416,44,Demo,Neutral,2026-05-11
179,4862,48,Call,Neutral,2026-03-29
180,1430,16,Demo,Neutral,2025-10-05
181,7489,12,Meeting,Neutral,2025-07-18
182,3584,39,Call,Neutral,2025-11-28
183,5151,44,Call,Neutral,2025-09-26
184,8815,41,Meeting,Negative,2025-10-08
185,8596,40,Email,Negative,2025-12-18
186,4827,32,Meeting,Neutral,2026-02-20
187,5532,23,Email,Positive,2025-10-18
188,1858,45,Demo,Negative,2026-01-11
189,1143,1,Call,Negative,2025-12-02
190,3174,28,Demo,Positive,2025-09-12
191,7299,23,Demo,Positive,2026-03-13
192,4591,35,Meeting,Neutral,2026-01-22
193,5996,44,Email,Positive,2026-04-14
194,5664,2,Email,Positive,2026-05-20
195,221,21,Email,Neutral,2025-12-02
196,1594,24,Call,Neutral,2025-09-08
197,8614,4,Meeting,Negative,2026-02-22
198,9332,18,Call,Positive,2026-03-13
199,6906,7,Demo,Negative,2025-07-28
200,8174,26,Demo,Negative,2026-02-01
201,5809,39,Meeting,Neutral,2025-12-23
202,3228,22,Demo,Positive,2025-10-06
203,5813,17,Call,Negative,2025-06-20
204,3685,37,Email,Positive,2026-03-05
205,7082,12,Meeting,Negative,2026-01-02
206,8572,18,Demo,Negative,2025-12-23
207,7330,20,Email,Neutral,2025-06-23
208,8698,38,Call,Positive,2026-02-22
209,2945,27,Meeting,Negative,2025-10-14
210,7317,47,Meeting,Positive,2026-01-21
211,6494,13,Call,Negative,2025-08-03
212,61,6,Demo,Positive,2026-06-13
213,7155,20,Call,Negative,2025-11-20
214,2231,16,Demo,Neutral,2025-08-09
215,3921,33,Call,Negative,2025-09-29
216,1837,41,Demo,Neutral,2026-04-03
217,2286,48,Demo,Neutral,2026-05-08
218,9829,28,Demo,Negative,2025-11-08
219,522,33,Call,Negative,2025-09-02
220,7223,3,Demo,Negative,2025-06-29
221,6696,10,Email,Neutral,2026-02-23
222,479,45,Meeting,Positive,2025-07-09
223,9253,6,Demo,Neutral,2026-03-23
224,8430,24,Meeting,Neutral,2026-01-12
225,2553,46,Demo,Positive,2026-04-23
226,1882,21,Meeting,Negative,2026-05-10
227,1078,9,Meeting,Neutral,2026-03-30
228,2223,15,Email,Negative,2026-03-27
229,1222,15,Demo,Negative,2025-11-26
230,9622,9,Meeting,Negative,2025-12-03
231,3919,32,Email,Neutral,2026-01-13
232,729,12,Call,Positive,2026-04-22
233,7342,18,Meeting,Neutral,2026-05-09
234,7447,1,Meeting,Positive,2025-11-16
235,2598,19,Call,Neutral,2025-07-31
236,4153,20,Demo,Negative,2026-04-11
237,9666,26,Email,Negative,2026-06-10
238,5586,46,Demo,Negative,2026-06-06
239,7967,33,Call,Positive,2026-02-16
240,8101,14,Meeting,Neutral,2025-07-22
241,5905,46,Demo,Negative,2026-03-20
242,4396,40,Meeting,Neutral,2025-07-13
243,215,12,Call,Positive,2025-10-21
244,3307,50,Meeting,Neutral,2025-08-17
245,893,47,Call,Positive,2026-01-26
246,3942,35,Call,Neutral,2025-10-22
247,1292,18,Call,Positive,2025-11-10
248,7161,9,Call,Positive,2025-08-24
249,8311,4,Call,Neutral,2025-08-22
250,369,24,Meeting,Neutral,2025-10-07
251,9,2,Meeting,Positive,2025-10-26
252,621,45,Meeting,Neutral,2025-12-16
253,5765,7,Demo,Neutral,2025-10-04
254,855,30,Demo,Neutral,2025-12-29
255,2725,34,Email,Negative,2025-08-19
256,7957,30,Meeting,Positive,2025-09-20
257,6775,14,Email,Positive,2025-07-05
258,8673,45,Email,Positive,2025-11-03
259,247,47,Email,Negative,2026-05-29
260,1366,11,Demo,Negative,2026-02-05
261,6378,28,Meeting,Neutral,2026-05-31
262,9693,26,Call,Negative,2025-10-25
263,2943,3,Demo,Neutral,2025-09-14
264,3655,38,Demo,Positive,2025-07-24
265,3081,25,Meeting,Negative,2026-04-30
266,9640,39,Call,Negative,2025-12-01
267,3532,19,Call,Neutral,2025-08-09
268,2679,22,Call,Positive,2025-09-20
269,8202,17,Call,Negative,2025-08-15
270,695,22,Demo,Negative,2026-06-09
271,1768,4,Call,Neutral,2026-06-07
272,5153,5,Meeting,Positive,2026-06-07
273,1303,37,Call,Positive,2025-10-04
274,2065,18,Demo,Positive,2026-01-28
275,1917,38,Meeting,Negative,2025-06-30
276,1604,9,Demo,Negative,2025-11-28
277,9769,39,Call,Neutral,2026-04-10
278,9655,22,Demo,Negative,2025-06-27
279,5347,15,Call,Neutral,2026-03-13
280,500,19,Demo,Positive,2025-08-19
281,4931,10,Demo,Neutral,2025-09-14
282,1683,12,Call,Neutral,2025-10-19
283,6334,17,Demo,Neutral,2026-01-03
284,3738,12,Meeting,Positive,2026-01-11
285,7381,42,Email,Positive,2025-09-07
286,9070,23,Meeting,Positive,2026-05-26
287,415,45,Email,Positive,2025-10-28
288,1477,27,Demo,Neutral,2025-10-10
289,49,29,Meeting,Positive,2025-09-28
290,5523,16,Demo,Positive,2026-01-16
291,9639,37,Demo,Negative,2025-07-08
292,1296,11,Call,Neutral,2026-01-17
293,4715,32,Email,Negative,2025-08-08
294,4204,1,Call,Neutral,2025-11-20
295,3936,1,Email,Positive,2026-05-04
296,6642,39,Call,Positive,2025-11-22
297,6224,21,Demo,Negative,2026-01-30
298,7136,24,Meeting,Positive,2026-05-17
299,294,13,Call,Negative,2026-04-15
300,5261,9,Demo,Positive,2025-11-15
301,9375,35,Email,Negative,2025-12-18
302,5077,48,Call,Positive,2026-05-30
303,5904,23,Call,Positive,2025-09-03
304,5239,2,Demo,Positive,2025-08-05
305,903,45,Email,Neutral,2025-08-09
306,4962,6,Demo,Neutral,2026-03-23
307,8873,13,Call,Positive,2025-12-08
308,4317,47,Demo,Positive,2025-12-09
309,8571,32,Meeting,Negative,2025-09-27
310,9201,13,Email,Negative,2025-10-19
311,1000,25,Call,Neutral,2025-06-27
312,4866,18,Email,Negative,2025-09-30
313,2199,43,Call,Neutral,2026-03-16
314,1047,14,Meeting,Neutral,2026-04-12
315,5190,2,Demo,Negative,2025-08-07
316,6149,49,Call,Positive,2026-01-07
317,2473,3,Email,Negative,2025-09-12
318,4386,32,Email,Neutral,2025-07-19
319,3098,50,Demo,Neutral,2026-01-14
320,6605,4,Call,Negative,2026-01-12
321,3228,45,Demo,Negative,2026-05-29
322,4218,47,Meeting,Positive,2025-12-22
323,4434,34,Meeting,Positive,2025-09-27
324,3419,36,Call,Negative,2025-10-03
325,8869,29,Demo,Positive,2026-06-06
326,4924,42,Demo,Negative,2025-12-03
327,9782,30,Meeting,Negative,2025-10-12
328,1772,44,Demo,Positive,2025-10-21
329,8380,33,Email,Negative,2025-11-18
330,6723,9,Call,Neutral,2025-09-09
331,2029,36,Demo,Neutral,2025-07-19
332,6380,41,Call,Positive,2025-09-13
333,9996,40,Meeting,Neutral,2025-08-02
334,367,18,Email,Neutral,2025-06-17
335,9775,9,Demo,Neutral,2025-11-26
336,2438,18,Email,Negative,2025-09-20
337,3459,48,Call,Neutral,2026-01-03
338,2899,19,Meeting,Positive,2025-11-18
339,4321,26,Call,Positive,2025-12-23
340,6412,3,Meeting,Positive,2025-12-02
341,710,6,Demo,Positive,2025-10-09
342,8940,11,Call,Negative,2026-01-07
343,4205,19,Demo,Neutral,2025-09-11
344,7528,22,Meeting,Positive,2025-12-01
345,8719,23,Email,Negative,2026-06-01
346,6084,47,Call,Neutral,2026-02-23
347,3247,8,Demo,Negative,2026-01-12
348,364,6,Call,Neutral,2025-12-12
349,1240,21,Email,Positive,2026-04-25
350,4196,42,Demo,Negative,2025-09-15
351,8801,42,Meeting,Neutral,2025-11-11
352,8375,50,Meeting,Negative,2026-05-30
353,7236,16,Demo,Positive,2025-10-10
354,5750,10,Demo,Negative,2026-02-28
355,6025,28,Demo,Negative,2026-04-14
356,7714,27,Email,Neutral,2025-09-18
357,6826,35,Meeting,Neutral,2026-01-22
358,8204,38,Meeting,Neutral,2025-06-23
359,4364,28,Call,Negative,2025-11-14
360,4720,40,Demo,Negative,2026-04-30
361,5202,39,Meeting,Neutral,2025-07-21
362,6706,3,Call,Neutral,2026-05-18
363,2511,30,Call,Neutral,2025-08-15
364,4279,31,Demo,Positive,2025-10-20
365,4078,32,Demo,Positive,2025-11-30
366,8021,44,Meeting,Positive,2025-07-23
367,4361,37,Call,Neutral,2025-12-31
368,923,20,Email,Negative,2025-08-24
369,5929,37,Meeting,Negative,2025-12-18
370,9006,15,Meeting,Negative,2025-12-28
371,7391,6,Call,Neutral,2025-10-06
372,5836,49,Call,Positive,2026-05-22
373,9796,21,Meeting,Negative,2025-10-30
374,8681,22,Call,Negative,2026-05-04
375,714,49,Call,Negative,2025-10-26
376,3656,10,Meeting,Neutral,2026-01-27
377,3589,46,Email,Positive,2025-09-25
378,1892,42,Meeting,Positive,2026-02-12
379,6314,13,Meeting,Positive,2025-11-02
380,1915,46,Demo,Positive,2025-07-10
381,5406,38,Email,Negative,2025-07-21
382,3277,34,Call,Neutral,2026-04-22
383,7796,27,Demo,Neutral,2025-09-22
384,8443,33,Demo,Positive,2025-10-26
385,7395,11,Demo,Neutral,2026-03-26
386,2165,40,Email,Neutral,2025-11-19
387,3557,48,Call,Positive,2026-01-03
388,9611,19,Call,Negative,2026-03-09
389,8107,27,Email,Neutral,2025-12-17
390,370,25,Call,Negative,2026-04-02
391,9068,14,Meeting,Negative,2026-04-10
392,7227,1,Call,Negative,2026-05-25
393,9407,37,Meeting,Positive,2026-04-05
394,6210,24,Demo,Positive,2026-03-28
395,8565,38,Email,Neutral,2026-05-21
396,7240,8,Email,Negative,2026-05-09
397,9996,25,Call,Negative,2026-05-24
398,1957,49,Meeting,Negative,2025-11-08
399,5375,18,Meeting,Neutral,2025-06-28
400,4025,29,Meeting,Negative,2025-08-14
401,6090,21,Email,Negative,2026-04-25
402,8729,11,Email,Negative,2026-04-01
403,1693,13,Email,Positive,2025-07-04
404,6611,39,Call,Neutral,2026-01-25
405,3457,49,Email,Neutral,2026-03-05
406,8931,36,Meeting,Positive,2025-11-07
407,6792,11,Call,Negative,2026-03-10
408,7062,21,Demo,Neutral,2026-04-01
409,9287,10,Call,Neutral,2025-12-07
410,8688,49,Email,Neutral,2026-02-23
411,2636,16,Demo,Neutral,2025-06-21
412,8730,43,Meeting,Negative,2026-04-15
413,783,13,Call,Positive,2025-12-28
414,7815,30,Meeting,Negative,2025-08-20
415,6953,2,Demo,Positive,2026-04-21
416,6330,30,Demo,Positive,2025-12-17
417,9429,48,Meeting,Positive,2026-02-11
418,2805,38,Meeting,Neutral,2026-02-21
419,7238,46,Meeting,Neutral,2025-11-09
420,2015,3,Email,Neutral,2026-06-10
421,3954,26,Meeting,Neutral,2025-09-23
422,7214,20,Call,Neutral,2026-04-23
423,5734,43,Meeting,Neutral,2026-05-19
424,5538,44,Call,Negative,2026-05-12
425,7113,47,Meeting,Neutral,2026-01-23
426,2342,13,Meeting,Positive,2025-06-28
427,3847,22,Email,Positive,2026-05-16
428,1232,1,Demo,Neutral,2025-11-09
429,6068,12,Meeting,Positive,2026-04-07
430,8763,24,Call,Neutral,2025-07-04
431,3815,35,Call,Positive,2026-05-14
432,2311,34,Email,Positive,2025-10-02
433,4557,17,Meeting,Neutral,2025-12-03
434,7037,47,Meeting,Neutral,2025-09-23
435,5698,47,Call,Negative,2026-06-15
436,126,38,Demo,Neutral,2026-03-06
437,7249,1,Demo,Neutral,2025-06-19
438,2241,18,Call,Positive,2025-12-27
439,6692,35,Demo,Positive,2026-05-10
440,3469,20,Call,Positive,2025-09-02
441,5303,28,Demo,Neutral,2026-05-24
442,4261,11,Demo,Positive,2025-07-19
443,9007,30,Email,Positive,2025-08-26
444,8432,19,Email,Positive,2026-05-09
445,3273,42,Meeting,Neutral,2025-11-20
446,5000,46,Demo,Negative,2025-11-15
447,5143,5,Meeting,Negative,2026-03-27
448,1701,36,Demo,Positive,2026-05-15
449,7909,29,Call,Positive,2026-04-27
450,7825,46,Email,Positive,2026-02-06
451,9862,34,Demo,Negative,2026-01-21
452,4167,44,Meeting,Negative,2025-11-02
453,9617,35,Call,Negative,2026-03-14
454,7286,21,Call,Negative,2026-06-03
455,8829,17,Call,Negative,2025-07-06
456,7033,10,Email,Neutral,2025-10-13
457,2279,50,Demo,Negative,2025-12-22
458,9063,46,Demo,Negative,2026-05-23
459,7247,37,Demo,Neutral,2025-06-29
460,7760,48,Demo,Positive,2026-01-02
461,8464,7,Email,Positive,2025-07-03
462,2041,17,Demo,Positive,2026-02-15
463,6607,27,Email,Neutral,2026-03-13
464,2676,36,Meeting,Negative,2025-10-10
465,7976,28,Demo,Neutral,2026-06-01
466,7484,6,Email,Negative,2025-11-14
467,8780,11,Meeting,Neutral,2025-10-03
468,9884,5,Demo,Positive,2025-09-25
469,8697,15,Demo,Negative,2025-09-15
470,7939,31,Demo,Positive,2025-12-27
471,7135,7,Demo,Negative,2025-12-25
472,9769,37,Email,Negative,2026-04-02
473,1893,22,Demo,Neutral,2025-08-29
474,2445,40,Meeting,Neutral,2026-01-04
475,5773,44,Call,Negative,2025-07-14
476,8813,49,Email,Neutral,2025-06-17
477,7284,10,Email,Negative,2026-04-05
478,9949,35,Email,Positive,2025-10-23
479,32,49,Email,Negative,2025-09-26
480,3196,8,Meeting,Negative,2026-01-06
481,1726,35,Demo,Positive,2025-10-07
482,4691,18,Demo,Negative,2026-02-27
483,603,46,Email,Positive,2025-07-17
484,5985,40,Call,Positive,2026-05-05
485,8376,27,Call,Neutral,2025-10-30
486,2417,19,Meeting,Negative,2026-04-06
487,8170,36,Email,Positive,2026-04-25
488,9030,17,Email,Positive,2025-09-25
489,1924,15,Call,Neutral,2026-03-21
490,677,21,Email,Positive,2026-04-23
491,3537,33,Call,Negative,2025-06-23
492,8439,49,Demo,Negative,2026-02-26
493,6244,15,Demo,Neutral,2025-12-18
494,6783,49,Email,Positive,2025-11-26
495,4840,3,Meeting,Neutral,2025-11-21
496,6991,4,Email,Neutral,2026-05-06
497,9522,32,Call,Negative,2026-02-17
498,1196,6,Call,Neutral,2025-08-15
499,5265,22,Meeting,Negative,2026-01-11
500,1459,7,Demo,Positive,2026-01-27
501,5564,3,Meeting,Positive,2026-05-28
502,9264,8,Email,Negative,2026-05-07
503,9689,31,Call,Neutral,2025-10-26
504,1447,16,Email,Negative,2026-01-13
505,9664,44,Meeting,Neutral,2026-01-14
506,4010,3,Demo,Positive,2026-01-10
507,7358,8,Demo,Negative,2025-12-10
508,3624,12,Email,Negative,2026-05-25
509,7841,37,Meeting,Neutral,2025-11-13
510,1625,9,Meeting,Neutral,2025-08-29
511,1536,27,Call,Positive,2026-03-05
512,8266,23,Call,Positive,2026-04-17
513,4150,42,Demo,Negative,2026-04-05
514,1847,16,Demo,Negative,2026-05-07
515,5287,42,Call,Negative,2025-06-19
516,7310,30,Email,Neutral,2025-07-02
517,7482,29,Demo,Negative,2026-03-11
518,4721,22,Demo,Negative,2026-04-26
519,2029,39,Demo,Negative,2026-04-09
520,7479,30,Email,Neutral,2026-05-08
521,8206,43,Email,Neutral,2026-06-02
522,4797,9,Call,Negative,2025-07-31
523,5504,22,Call,Positive,2026-01-23
524,4910,14,Meeting,Negative,2025-12-29
525,9286,1,Call,Negative,2025-11-27
526,4232,2,Call,Neutral,2026-05-16
527,6728,46,Meeting,Negative,2025-07-17
528,5063,42,Email,Negative,2025-07-05
529,7852,6,Meeting,Neutral,2026-01-24
530,6076,29,Call,Neutral,2025-06-26
531,3459,12,Demo,Neutral,2026-05-16
532,6847,44,Meeting,Positive,2025-08-17
533,8423,50,Meeting,Negative,2025-09-12
534,5948,13,Call,Positive,2025-09-22
535,9494,8,Email,Negative,2026-02-01
536,9779,30,Meeting,Neutral,2025-07-14
537,2654,22,Meeting,Negative,2026-03-08
538,2348,37,Meeting,Negative,2025-07-13
539,7506,44,Email,Neutral,2025-06-28
540,5068,8,Demo,Neutral,2025-09-15
541,4370,49,Email,Positive,2026-01-08
542,5417,10,Email,Positive,2026-01-31
543,2689,21,Demo,Neutral,2025-06-28
544,214,7,Call,Positive,2026-04-05
545,4218,29,Call,Neutral,2026-05-01
546,6264,27,Call,Negative,2026-03-12
547,2402,4,Email,Negative,2025-12-28
548,8106,45,Demo,Neutral,2025-11-16
549,8877,12,Meeting,Neutral,2026-01-08
550,9889,30,Email,Negative,2025-07-31
551,4379,38,Call,Neutral,2025-12-10
552,2821,4,Meeting,Neutral,2026-01-28
553,3934,38,Demo,Negative,2026-02-26
554,1739,1,Meeting,Negative,2026-05-17
555,1949,9,Meeting,Neutral,2025-10-03
556,2106,49,Call,Neutral,2026-06-10
557,2896,12,Meeting,Negative,2025-10-16
558,3486,30,Email,Neutral,2025-08-12
559,682,34,Call,Neutral,2026-01-09
560,7713,1,Meeting,Neutral,2025-10-02
561,2739,40,Meeting,Neutral,2026-03-14
562,5806,43,Meeting,Positive,2025-06-21
563,6917,39,Demo,Neutral,2025-08-19
564,567,45,Email,Positive,2026-03-29
565,2135,41,Email,Positive,2025-08-18
566,9018,21,Demo,Neutral,2025-08-07
567,638,32,Call,Neutral,2026-01-08
568,4884,21,Call,Neutral,2025-07-14
569,8275,1,Email,Negative,2026-03-20
570,5412,33,Meeting,Neutral,2025-07-29
571,7665,46,Email,Neutral,2026-03-05
572,227,34,Demo,Negative,2026-06-15
573,3386,23,Call,Neutral,2025-12-28
574,5703,35,Meeting,Neutral,2025-07-11
575,3187,41,Call,Neutral,2025-12-17
576,8252,28,Meeting,Negative,2025-11-07
577,4123,5,Call,Neutral,2025-08-22
578,4213,43,Call,Neutral,2026-05-20
579,2653,10,Call,Negative,2026-02-11
580,3767,16,Meeting,Neutral,2026-03-24
581,6685,23,Email,Neutral,2025-08-29
582,9,14,Meeting,Negative,2026-05-19
583,8936,45,Meeting,Negative,2026-01-23
584,761,22,Call,Negative,2026-04-08
585,9420,6,Email,Positive,2026-02-05
586,4325,10,Call,Neutral,2025-10-26
587,4797,50,Email,Negative,2025-07-16
588,5959,1,Demo,Positive,2025-09-16
589,9110,14,Meeting,Neutral,2025-09-07
590,7339,21,Meeting,Negative,2026-01-20
591,1719,24,Demo,Neutral,2025-07-07
592,6465,2,Call,Positive,2026-03-31
593,446,48,Demo,Negative,2025-08-12
594,4512,10,Meeting,Positive,2026-04-06
595,6281,40,Meeting,Positive,2026-03-05
596,3087,36,Email,Positive,2025-12-16
597,3188,45,Meeting,Neutral,2025-09-29
598,6476,10,Demo,Negative,2025-07-01
599,2195,43,Demo,Negative,2026-04-14
600,7354,36,Call,Neutral,2025-07-12
601,4302,12,Email,Neutral,2025-10-31
602,2693,32,Demo,Neutral,2026-06-08
603,9834,46,Email,Positive,2025-09-30
604,7048,8,Meeting,Neutral,2026-06-04
605,1950,21,Meeting,Negative,2026-05-16
606,3020,35,Meeting,Positive,2026-05-01
607,2308,8,Call,Neutral,2026-01-31
608,2619,20,Demo,Positive,2025-11-18
609,3123,19,Email,Positive,2026-03-13
610,8012,22,Email,Neutral,2026-02-22
611,5377,6,Call,Neutral,2026-02-17
612,3882,35,Demo,Neutral,2025-12-03
613,3430,22,Meeting,Negative,2026-06-15
614,3434,22,Demo,Positive,2025-06-28
615,3567,48,Email,Neutral,2026-01-18
616,8586,23,Call,Neutral,2025-09-22
617,505,24,Call,Neutral,2026-02-14
618,6144,31,Demo,Positive,2025-11-15
619,2929,38,Meeting,Neutral,2025-09-07
620,7596,50,Demo,Negative,2026-02-10
621,4765,32,Email,Neutral,2026-05-12
622,7834,1,Demo,Neutral,2025-12-05
623,1476,13,Meeting,Neutral,2026-05-30
624,844,8,Meeting,Neutral,2025-09-06
625,9477,40,Meeting,Positive,2025-11-26
626,3663,38,Call,Positive,2025-11-08
627,9544,6,Meeting,Neutral,2025-10-10
628,6642,28,Demo,Positive,2026-06-07
629,5918,11,Email,Neutral,2026-05-01
630,223,19,Meeting,Neutral,2026-06-09
