lead_id,industry,lead_source,company_size,annual_revenue,region,lead_status,created_date
103,Technology,Website,Medium,3339620,South,Converted,2025-11-17
104,Technology,Referral,Small,5727125,North,Lost,2025-12-05
105,Retail,Website,Large,6879232,West,Lost,2025-11-06
106,Retail,Cold Call,Large,5288966,West,Qualified,2026-03-21
107,Healthcare,Website,Medium,802486,South,Lost,2025-09-03
108,Finance,Website,Large,1665698,East,Qualified,2026-02-05
109,Technology,Campaign,Large,607123,East,New,2025-07-05
110,Technology,Website,Medium,4639625,South,Contacted,2025-07-15
111,Healthcare,Partner,Medium,7664092,West,Lost,2025-12-13
112,Retail,Partner,Small,7460627,East,Qualified,2025-08-20
113,Retail,Partner,Small,1174996,North,Qualified,2026-06-03
114,Manufacturing,Partner,Large,4196230,West,Contacted,2025-11-23
115,Manufacturing,Referral,Medium,9376799,South,Converted,2025-11-22
116,Technology,Campaign,Small,3998939,East,New,2026-02-25
117,Finance,Partner,Small,6098023,South,Contacted,2026-04-05
118,Technology,Referral,Medium,1435202,North,Qualified,2026-02-28
119,Healthcare,Website,Large,9561199,East,New,2025-08-12
120,Finance,Referral,Small,3990238,West,Contacted,2025-07-21
121,Healthcare,Website,Small,1146822,North,Lost,2025-09-07
122,Retail,Cold Call,Small,8103031,East,Qualified,2026-01-29
123,Manufacturing,Cold Call,Medium,4512136,East,Lost,2026-03-11
124,Retail,Cold Call,Small,5605519,South,New,2025-06-18
125,Finance,Referral,Large,4380694,East,Lost,2025-07-12
126,Technology,Campaign,Large,556005,West,New,2026-01-17
127,Technology,Referral,Large,2154436,South,Lost,2025-07-29
128,Technology,Website,Medium,305832,North,Qualified,2025-09-08
129,Finance,Campaign,Small,3668439,West,Qualified,2025-07-11
130,Healthcare,Campaign,Medium,149375,East,Converted,2026-05-15
131,Finance,Campaign,Medium,5727747,North,Converted,2026-03-03
132,Manufacturing,Referral,Large,9932187,North,Converted,2025-06-28
133,Retail,Campaign,Small,388287,West,New,2026-01-23
134,Manufacturing,Website,Small,3472044,East,Contacted,2025-12-30
135,Finance,Cold Call,Medium,8818857,East,Converted,2025-11-08
136,Healthcare,Campaign,Small,5225557,East,Converted,2025-09-14
137,Manufacturing,Partner,Small,7514927,West,Qualified,2026-02-14
138,Healthcare,Referral,Small,8843850,South,Contacted,2026-05-17
139,Manufacturing,Website,Large,1009234,West,Lost,2026-04-12
140,Technology,Referral,Small,108020,North,Qualified,2026-05-15
141,Retail,Cold Call,Medium,9882523,South,Qualified,2025-07-31
142,Healthcare,Website,Large,2842480,North,Converted,2025-10-03
143,Manufacturing,Website,Large,5117163,North,Converted,2025-08-14
144,Finance,Partner,Large,3683317,South,New,2025-12-04
145,Technology,Campaign,Medium,4094905,West,Contacted,2025-12-18
146,Finance,Cold Call,Medium,2081824,East,Contacted,2026-03-12
147,Retail,Campaign,Large,7746047,East,Converted,2026-06-04
148,Retail,Partner,Medium,2433107,South,Qualified,2025-08-02
149,Healthcare,Website,Medium,3938688,West,Contacted,2025-12-07
150,Retail,Campaign,Medium,5051939,North,Converted,2025-07-20
151,Retail,Website,Large,552074,North,Qualified,2025-10-09
152,Manufacturing,Website,Medium,5763209,East,Lost,2026-03-03
153,Healthcare,Cold Call,Medium,5784557,East,Lost,2025-11-12
154,Finance,Website,Small,8177075,West,Converted,2026-04-15
155,Technology,Partner,Large,5681254,South,New,2025-08-01
156,Retail,Campaign,Small,7281369,South,New,2025-09-12
157,Retail,Referral,Small,6792644,West,Lost,2026-03-29
158,Finance,Partner,Large,3926909,East,New,2026-03-06
159,Healthcare,Website,Medium,863979,North,Converted,2026-06-02
160,Healthcare,Cold Call,Small,2605733,East,New,2025-07-24
161,Retail,Partner,Small,1719089,West,Contacted,2025-11-08
162,Manufacturing,Website,Small,6616775,West,Lost,2026-04-02
163,Healthcare,Website,Large,2772745,West,Qualified,2025-07-15
164,Finance,Referral,Medium,6058227,East,Converted,2026-05-28
165,Healthcare,Campaign,Small,5082016,North,New,2026-02-20
166,Finance,Website,Small,1917425,North,Lost,2025-09-08
167,Finance,Partner,Small,1396041,South,New,2025-07-12
168,Technology,Website,Medium,7599905,West,Qualified,2026-01-21
169,Healthcare,Cold Call,Large,9140543,West,New,2026-02-09
170,Manufacturing,Website,Medium,2283911,East,Lost,2025-12-04
171,Manufacturing,Cold Call,Medium,7405818,North,Converted,2026-06-14
172,Manufacturing,Referral,Medium,7375061,North,Contacted,2025-09-15
173,Technology,Campaign,Large,1154272,West,New,2026-04-26
174,Technology,Referral,Large,9310934,North,New,2026-06-14
175,Retail,Referral,Medium,889943,North,Lost,2025-11-02
176,Retail,Campaign,Large,1491630,North,New,2026-01-29
177,Manufacturing,Campaign,Medium,5491495,South,Qualified,2026-02-02
178,Healthcare,Referral,Small,8395164,North,Converted,2025-08-06
179,Technology,Cold Call,Large,9465116,West,Qualified,2025-08-23
180,Healthcare,Referral,Large,7401813,North,Qualified,2025-10-26
181,Technology,Website,Small,8944453,West,New,2025-07-18
182,Finance,Referral,Small,6243903,North,Qualified,2026-04-13
183,Finance,Cold Call,Small,6307492,West,Qualified,2025-06-20
184,Healthcare,Partner,Medium,7872332,East,Lost,2026-03-20
185,Finance,Website,Large,4068385,North,Lost,2026-06-10
186,Finance,Campaign,Small,1217897,West,Converted,2025-11-17
187,Healthcare,Partner,Small,5304135,West,New,2025-07-13
188,Technology,Website,Large,3900677,East,Converted,2025-09-26
189,Healthcare,Cold Call,Small,725286,South,New,2025-06-30
190,Manufacturing,Partner,Small,7654381,South,Converted,2025-11-29
191,Healthcare,Partner,Large,7522379,West,Contacted,2025-07-24
192,Technology,Website,Medium,3734124,West,Contacted,2026-03-19
193,Healthcare,Partner,Large,846693,South,New,2026-02-06
194,Manufacturing,Referral,Medium,4363218,North,Qualified,2025-08-18
195,Healthcare,Partner,Small,9016494,South,Lost,2026-04-26
196,Technology,Cold Call,Small,4619904,North,Lost,2025-08-13
197,Retail,Partner,Medium,7274557,North,Converted,2026-03-14
198,Retail,Website,Medium,3860805,South,Converted,2026-04-29
199,Healthcare,Website,Small,5071976,East,New,2026-05-05
200,Manufacturing,Cold Call,Small,9895011,West,Lost,2026-01-08
201,Retail,Cold Call,Large,2441262,East,Lost,2025-12-09
202,Technology,Referral,Small,6385610,South,Contacted,2025-07-10
203,Retail,Referral,Large,5693783,West,Converted,2025-10-05
204,Finance,Campaign,Small,6824959,South,Qualified,2026-03-03
205,Finance,Referral,Medium,6637230,East,Qualified,2025-08-15
206,Technology,Campaign,Medium,1869805,East,Contacted,2025-07-28
207,Finance,Partner,Small,7432832,North,Converted,2025-07-10
208,Manufacturing,Website,Small,1494010,South,Contacted,2026-02-13
209,Technology,Partner,Large,493836,West,Converted,2025-11-19
210,Technology,Referral,Medium,6288261,South,Converted,2026-03-27
211,Technology,Cold Call,Small,9835464,South,Lost,2026-01-23
212,Manufacturing,Campaign,Medium,729978,East,Contacted,2025-10-29
213,Manufacturing,Cold Call,Small,1981099,East,Lost,2026-01-21
214,Retail,Referral,Medium,4562728,North,Qualified,2025-06-28
215,Manufacturing,Campaign,Medium,3422993,North,Contacted,2026-04-20
216,Technology,Referral,Small,7874564,North,Qualified,2025-10-25
217,Manufacturing,Website,Large,5583222,North,Lost,2025-11-04
218,Manufacturing,Referral,Small,503106,East,Lost,2025-12-28
219,Retail,Referral,Small,6532719,North,Lost,2026-01-02
220,Technology,Website,Large,4418512,East,New,2026-03-16
221,Finance,Referral,Large,7331335,North,Contacted,2025-07-11
222,Technology,Cold Call,Large,8425866,North,Converted,2025-12-01
223,Finance,Referral,Medium,1373685,North,Contacted,2025-07-05
224,Technology,Campaign,Small,6913103,South,Contacted,2025-09-15
225,Retail,Cold Call,Large,273888,North,Qualified,2025-07-14
226,Manufacturing,Campaign,Small,2222823,West,Lost,2026-03-01
227,Technology,Website,Small,491302,East,Converted,2025-10-11
228,Healthcare,Cold Call,Small,1922252,North,Contacted,2025-07-26
229,Manufacturing,Website,Large,6385531,East,Lost,2025-09-30
230,Manufacturing,Partner,Small,5827086,East,Converted,2026-01-14
231,Healthcare,Referral,Large,5896361,North,Qualified,2025-09-08
232,Retail,Referral,Medium,7090847,South,Contacted,2025-11-24
233,Manufacturing,Campaign,Medium,5296856,East,Converted,2026-02-13
234,Manufacturing,Campaign,Large,3598586,West,New,2025-07-31
235,Healthcare,Cold Call,Medium,7343087,East,Lost,2025-08-06
236,Retail,Cold Call,Small,8563218,East,Lost,2025-07-26
237,Technology,Referral,Small,9350791,South,Lost,2026-04-07
238,Finance,Partner,Large,9594329,South,Converted,2025-10-15
239,Healthcare,Campaign,Large,2162847,East,New,2025-12-24
240,Manufacturing,Website,Small,7420249,North,New,2026-01-16
241,Technology,Website,Medium,1433664,North,Qualified,2026-03-12
242,Manufacturing,Cold Call,Small,7486212,South,Qualified,2025-07-30
243,Healthcare,Campaign,Medium,233678,North,New,2025-12-19
244,Healthcare,Campaign,Large,9938665,West,Lost,2026-04-25
245,Retail,Website,Medium,1024733,East,Contacted,2026-01-03
246,Manufacturing,Partner,Medium,413446,South,Lost,2025-11-17
247,Retail,Referral,Large,6039121,North,New,2025-08-31
248,Finance,Website,Large,2316717,North,Converted,2026-04-24
249,Technology,Referral,Small,8171900,East,Qualified,2025-07-02
250,Retail,Referral,Medium,1004270,East,Contacted,2026-04-27
251,Retail,Referral,Medium,8667516,East,Contacted,2025-07-16
252,Healthcare,Referral,Medium,712638,South,Contacted,2026-04-29
253,Technology,Cold Call,Large,4261440,North,Converted,2025-12-22
254,Technology,Website,Small,9541116,South,Converted,2025-07-29
255,Manufacturing,Website,Small,9662704,South,Qualified,2026-02-16
256,Manufacturing,Website,Large,7417957,West,Qualified,2026-06-08
257,Technology,Website,Small,2199013,North,Converted,2025-12-16
258,Healthcare,Campaign,Large,2807846,West,Qualified,2026-02-15
259,Finance,Partner,Medium,2943459,East,New,2026-03-13
260,Healthcare,Partner,Small,6476388,West,Lost,2026-04-13
261,Finance,Website,Large,2338090,East,Qualified,2025-07-17
262,Healthcare,Campaign,Large,2370789,South,Converted,2025-08-08
263,Retail,Campaign,Large,4850810,North,Qualified,2025-07-13
264,Manufacturing,Partner,Small,5741699,South,Lost,2026-04-16
265,Finance,Campaign,Small,5269068,East,Converted,2025-07-17
266,Finance,Partner,Medium,404688,West,Qualified,2025-11-17
267,Finance,Campaign,Small,8014140,South,Converted,2026-03-08
268,Finance,Cold Call,Medium,3258569,South,Contacted,2026-06-03
269,Healthcare,Partner,Small,9021399,East,Lost,2025-09-04
270,Technology,Referral,Small,924484,West,Converted,2025-08-30
271,Technology,Partner,Small,407303,South,New,2025-12-13
272,Healthcare,Referral,Large,7540286,North,Qualified,2025-09-20
273,Finance,Partner,Small,802053,North,Contacted,2025-10-08
274,Technology,Partner,Large,789144,South,Contacted,2026-05-11
275,Healthcare,Website,Small,4281336,North,Lost,2026-04-25
276,Retail,Referral,Large,4073240,South,Contacted,2025-10-29
277,Healthcare,Referral,Large,2795450,North,Contacted,2026-02-23
278,Finance,Campaign,Large,4022912,West,Contacted,2025-09-04
279,Retail,Cold Call,Medium,3273432,West,Contacted,2026-05-22
280,Finance,Website,Medium,9962919,South,Lost,2025-06-25
281,Technology,Campaign,Large,2625872,North,Qualified,2026-01-20
282,Retail,Cold Call,Small,3147003,East,Converted,2025-12-13
283,Manufacturing,Campaign,Small,7344594,North,Lost,2025-10-14
284,Retail,Website,Small,7016341,North,Lost,2025-12-11
285,Manufacturing,Referral,Medium,768581,East,New,2025-09-28
286,Retail,Partner,Small,4125322,West,Lost,2025-08-15
287,Finance,Partner,Large,1679284,West,Contacted,2026-02-21
288,Healthcare,Partner,Small,4428237,East,Converted,2025-09-08
289,Finance,Partner,Large,6988004,West,New,2026-01-17
290,Technology,Cold Call,Small,9740261,West,Lost,2026-04-22
291,Healthcare,Website,Medium,2460261,East,Converted,2025-08-05
292,Healthcare,Website,Medium,593617,West,Converted,2026-03-27
293,Retail,Partner,Small,1625699,South,New,2026-06-02
294,Finance,Partner,Medium,2543759,South,Converted,2025-12-05
295,Manufacturing,Cold Call,Small,4740585,East,New,2026-03-30
296,Healthcare,Referral,Medium,5111395,West,Contacted,2025-07-28
297,Manufacturing,Referral,Large,1456195,East,Contacted,2026-05-10
298,Technology,Campaign,Small,2178292,North,New,2025-09-06
299,Finance,Website,Medium,9964332,West,Contacted,2025-11-18
300,Manufacturing,Referral,Small,7304368,West,New,2025-10-21
301,Manufacturing,Website,Medium,925011,West,Contacted,2025-11-20
302,Healthcare,Referral,Large,171112,East,Qualified,2025-07-16
303,Retail,Website,Small,4072970,North,Qualified,2025-12-01
304,Technology,Referral,Small,7468486,East,Lost,2025-06-18
305,Finance,Cold Call,Large,6151784,North,Contacted,2026-01-13
306,Finance,Partner,Large,9022705,South,Lost,2026-03-26
307,Finance,Cold Call,Medium,7848787,East,Converted,2025-12-21
308,Healthcare,Cold Call,Medium,3356177,West,Contacted,2025-10-19
309,Manufacturing,Website,Medium,463355,South,Qualified,2025-11-30
310,Technology,Cold Call,Small,3078222,East,Qualified,2026-01-07
311,Finance,Cold Call,Medium,1957403,South,Qualified,2026-02-18
312,Retail,Referral,Small,4884581,West,Contacted,2026-03-27
313,Healthcare,Website,Small,7936294,North,Lost,2026-03-03
314,Finance,Cold Call,Medium,4335618,North,Contacted,2025-11-05
315,Technology,Cold Call,Medium,3394263,South,New,2026-04-03
316,Manufacturing,Campaign,Small,3844746,West,Converted,2026-05-09
317,Healthcare,Campaign,Large,4323477,East,New,2025-07-04
318,Healthcare,Referral,Medium,7645241,South,New,2025-07-19
319,Finance,Website,Medium,6272390,West,Qualified,2025-10-27
320,Manufacturing,Cold Call,Small,767666,West,New,2025-10-30
321,Technology,Campaign,Medium,696731,South,Converted,2025-09-21
322,Manufacturing,Campaign,Medium,6935952,South,Contacted,2025-06-16
323,Healthcare,Cold Call,Small,2659882,East,Qualified,2026-01-18
324,Technology,Cold Call,Medium,3731449,East,Converted,2025-08-31
325,Retail,Website,Small,7781613,East,Qualified,2026-03-01
326,Retail,Website,Medium,9418287,South,Lost,2025-08-17
327,Retail,Website,Large,9855529,West,Lost,2025-07-10
328,Technology,Cold Call,Small,8444249,North,Lost,2026-05-21
329,Technology,Website,Medium,5739869,North,Converted,2025-09-02
330,Manufacturing,Partner,Small,8516516,West,Contacted,2026-02-13
331,Healthcare,Campaign,Medium,3599049,East,Lost,2025-10-16
332,Technology,Website,Medium,3111602,North,Qualified,2025-08-14
333,Technology,Website,Medium,1092088,East,Lost,2025-12-08
334,Finance,Campaign,Large,2365974,West,Lost,2025-07-31
335,Finance,Website,Small,8927951,North,New,2025-07-04
336,Retail,Referral,Large,9422680,West,Converted,2026-02-26
337,Healthcare,Campaign,Medium,5287898,North,Lost,2025-07-24
338,Retail,Cold Call,Small,3817417,North,Lost,2025-06-20
339,Finance,Partner,Medium,6402119,West,Lost,2025-09-17
340,Healthcare,Partner,Small,2943268,South,Contacted,2025-10-18
341,Finance,Referral,Small,360093,North,Converted,2026-01-23
342,Manufacturing,Partner,Large,1017432,East,Lost,2025-08-29
343,Manufacturing,Website,Small,4620158,South,Qualified,2025-11-16
344,Retail,Cold Call,Medium,762037,South,Lost,2025-12-20
345,Finance,Campaign,Small,4446075,South,Contacted,2026-02-08
346,Finance,Referral,Small,9521677,West,Contacted,2025-10-02
347,Retail,Referral,Medium,1981367,South,Qualified,2025-07-18
348,Manufacturing,Partner,Small,280468,West,Lost,2025-09-17
349,Retail,Partner,Small,7419423,West,Converted,2025-12-16
350,Technology,Campaign,Large,4869223,West,Contacted,2026-04-15
351,Finance,Website,Large,8463172,West,New,2026-03-30
352,Technology,Referral,Small,9432416,East,Qualified,2025-11-03
353,Finance,Referral,Small,9350345,West,Lost,2025-09-30
354,Healthcare,Referral,Small,6745150,West,Qualified,2025-07-29
355,Retail,Website,Large,3646973,South,Converted,2026-05-26
356,Healthcare,Campaign,Medium,5606249,East,Converted,2026-01-28
357,Finance,Partner,Medium,9110622,North,Lost,2026-06-09
358,Technology,Campaign,Large,3549855,South,New,2025-08-30
359,Healthcare,Referral,Medium,6547906,South,Lost,2026-02-17
360,Retail,Partner,Large,2845414,East,Lost,2025-07-08
361,Manufacturing,Campaign,Small,6097603,North,Contacted,2025-09-29
362,Healthcare,Website,Small,7957367,East,New,2025-08-17
363,Technology,Referral,Medium,8177425,East,Contacted,2025-08-04
364,Technology,Referral,Small,8782849,South,New,2025-12-21
365,Healthcare,Partner,Medium,4965102,South,Qualified,2025-06-25
366,Finance,Cold Call,Large,9133187,East,Converted,2026-04-16
367,Healthcare,Website,Small,3819365,South,New,2026-05-11
368,Finance,Cold Call,Small,8694745,East,New,2026-03-01
369,Technology,Website,Medium,7942856,North,Lost,2025-09-18
370,Retail,Website,Small,2717437,North,Qualified,2026-01-10
371,Manufacturing,Campaign,Small,4260712,East,Converted,2026-03-26
372,Manufacturing,Campaign,Small,7916038,East,Lost,2025-12-22
373,Finance,Cold Call,Small,3302535,South,New,2025-07-08
374,Finance,Website,Large,2244796,East,Qualified,2025-11-01
375,Finance,Cold Call,Medium,1601348,West,Contacted,2025-12-14
376,Healthcare,Partner,Small,9821116,East,Contacted,2026-01-12
377,Technology,Campaign,Medium,2140603,West,Lost,2026-02-28
378,Healthcare,Referral,Large,2746010,West,New,2025-12-14
379,Technology,Website,Medium,8473991,East,Converted,2026-04-27
380,Retail,Referral,Medium,272990,West,New,2025-10-24
381,Healthcare,Cold Call,Medium,7349939,South,Converted,2025-08-09
382,Finance,Campaign,Small,8732812,East,New,2026-03-17
383,Finance,Referral,Small,2002713,South,New,2026-03-28
384,Retail,Campaign,Large,8344744,West,New,2025-11-17
385,Technology,Website,Large,8593765,North,Qualified,2026-05-08
386,Finance,Website,Small,9728009,South,Lost,2026-01-12
387,Manufacturing,Website,Small,3698716,South,Qualified,2025-09-19
388,Healthcare,Campaign,Small,9090689,South,New,2026-01-27
389,Finance,Campaign,Medium,2643935,South,Converted,2025-11-03
390,Manufacturing,Referral,Large,4486766,East,Qualified,2026-06-05
391,Finance,Website,Small,7518704,East,Lost,2026-03-19
392,Healthcare,Website,Large,288068,South,Contacted,2025-09-13
393,Healthcare,Website,Small,6758268,North,Contacted,2026-04-18
394,Manufacturing,Campaign,Medium,9192841,West,Qualified,2026-03-08
395,Manufacturing,Partner,Large,3704056,South,Lost,2026-03-29
396,Finance,Partner,Small,326537,North,Lost,2025-11-08
397,Manufacturing,Cold Call,Medium,3338315,North,New,2026-06-11
398,Technology,Campaign,Medium,8569042,West,Contacted,2026-04-23
399,Manufacturing,Referral,Large,1635312,West,Contacted,2025-08-15
400,Technology,Campaign,Large,9683294,West,Lost,2026-03-07
401,Technology,Cold Call,Medium,8295213,East,Lost,2026-05-01
402,Healthcare,Cold Call,Medium,2472216,North,Converted,2025-09-19
403,Manufacturing,Campaign,Medium,9347824,South,Contacted,2025-10-05
404,Healthcare,Website,Small,7237945,North,Converted,2025-07-09
405,Manufacturing,Cold Call,Small,4949160,North,New,2025-10-23
406,Manufacturing,Partner,Large,875416,North,Converted,2026-01-04
407,Finance,Cold Call,Large,1243521,West,Lost,2026-02-08
408,Retail,Website,Small,7556971,North,New,2026-04-08
409,Healthcare,Cold Call,Medium,9620710,North,Contacted,2026-05-14
410,Retail,Partner,Medium,6662385,East,Contacted,2025-11-03
411,Technology,Campaign,Large,5558952,South,New,2026-04-19
412,Manufacturing,Referral,Small,8468435,South,Lost,2025-07-19
413,Finance,Campaign,Large,4948228,East,Converted,2025-08-15
414,Retail,Referral,Medium,1140624,North,Lost,2026-02-23
415,Finance,Website,Small,1550427,South,Qualified,2026-03-20
416,Healthcare,Campaign,Large,7413830,East,Qualified,2025-12-11
417,Retail,Campaign,Small,2533676,North,Lost,2025-06-18
418,Healthcare,Cold Call,Small,8129118,East,New,2026-02-03
419,Retail,Website,Large,742913,North,Contacted,2025-07-04
420,Finance,Referral,Large,8930200,North,Qualified,2026-02-15
421,Technology,Website,Small,1573914,West,New,2026-03-07
422,Finance,Referral,Large,6019445,West,New,2026-05-30
423,Retail,Partner,Small,1051117,South,Converted,2026-01-19
424,Finance,Website,Medium,2305954,South,Contacted,2026-02-24
425,Healthcare,Website,Large,805363,West,New,2026-06-02
426,Finance,Website,Medium,8282005,West,Lost,2025-09-25
427,Technology,Campaign,Small,6190820,West,Contacted,2026-01-02
428,Healthcare,Cold Call,Medium,4540326,West,Lost,2026-05-11
429,Manufacturing,Cold Call,Small,2275447,North,Contacted,2026-04-17
430,Technology,Partner,Large,9689619,West,Lost,2026-02-05
431,Retail,Cold Call,Small,6376539,East,Contacted,2026-01-27
432,Technology,Referral,Medium,8180847,West,Contacted,2026-05-11
433,Manufacturing,Partner,Small,1617103,West,Converted,2025-12-13
434,Healthcare,Cold Call,Medium,3584085,West,Qualified,2026-05-13
435,Healthcare,Referral,Small,5633141,South,Qualified,2025-08-01
436,Manufacturing,Website,Medium,1016451,East,Converted,2026-01-07
437,Healthcare,Referral,Large,5753528,West,New,2025-11-29
438,Retail,Website,Large,4112136,North,Lost,2026-03-04
439,Manufacturing,Website,Large,7369324,South,Contacted,2025-09-27
440,Healthcare,Cold Call,Small,1346903,East,Contacted,2026-01-07
